filename,object_id,final_shape,tgt_points,color_transfer_coeffs,polynomial_coeffs,polynomial_mean_coeffs,percentile_coeffs
--NSVcUgfVhFd6uzkqHOOg.jpg,48,diamond-s,"[[2359.0, 1383.0], [2411.0, 1320.0], [2477.0, 1370.0], [2425.0, 1433.0]]","[[0.08279615640640259, -1.5633569955825806], [0.3174375593662262, -0.11785537749528885], [0.07187780737876892, -0.3588481545448303]]","[[0.12460260838270187, 0.36932119727134705], [0.1007441058754921, 0.37551161646842957], [0.2868313789367676, 0.18209423124790192]]","[[0.11825490742921829, 0.3357379138469696]]","[[0.21887929737567902, 0.3093169927597046]]"
--NSVcUgfVhFd6uzkqHOOg.jpg,49,other,"[[2384.0, 1451.0], [2468.0, 1443.0], [2481.0, 1526.0], [2395.0, 1532.0]]",,,,
--tczNya4_w5IhU9DeRMHw.jpg,33,diamond-l,"[[594.0, 824.0], [737.0, 682.0], [927.0, 810.0], [768.0, 973.0]]","[[0.07616282999515533, -1.8604257106781006], [0.22585606575012207, 0.6833308339118958], [0.08230193704366684, -0.3478979766368866]]","[[0.21766626834869385, 0.47694769501686096], [0.14310242235660553, 0.3497278690338135], [-0.6091969609260559, 0.11627314984798431]]","[[0.13043037056922913, 0.32325226068496704]]","[[0.6512469053268433, 0.06570485234260559]]"
-0QdotcnWZMgDLHELjMeoQ.jpg,117,diamond-l,"[[1984.0, 1732.0], [2012.0, 1698.0], [2035.0, 1741.0], [2005.0, 1774.0]]","[[0.03839581087231636, -1.7633506059646606], [0.12608841061592102, 0.8069061040878296], [0.035957518965005875, -0.4080105721950531]]","[[0.05821533873677254, 0.676513135433197], [0.054961513727903366, 0.5285724401473999], [0.013021957129240036, 0.0826643705368042]]","[[0.04206841066479683, 0.4365784823894501]]","[[0.6349942684173584, 0.08860715478658676]]"
-0QdotcnWZMgDLHELjMeoQ.jpg,50,diamond-l,"[[1315.0, 1639.0], [1352.0, 1608.0], [1378.0, 1652.0], [1347.0, 1673.0]]","[[0.07193426042795181, -3.4334797859191895], [0.1187959536910057, -0.013349123299121857], [0.06570872664451599, -0.08494037389755249]]","[[-0.00552488723769784, 0.19780802726745605], [-0.004537910223007202, 0.13703009486198425], [-0.08817712962627411, 0.06576132774353027]]","[[-0.011983255855739117, 0.13590051233768463]]","[[0.12555204331874847, 0.057541169226169586]]"
-2H8gOJp_LEvus2Y6pCIOA.jpg,101,diamond-l,"[[3282.0, 917.0], [3364.0, 815.0], [3445.0, 932.0], [3369.0, 1030.0]]","[[0.08647987246513367, -2.4311604499816895], [0.21367239952087402, 0.902113139629364], [0.10691775381565094, -0.2827613949775696]]","[[0.10045219957828522, 0.4603179097175598], [0.08558418601751328, 0.28827160596847534], [-0.14290043711662292, 0.03323879837989807]]","[[0.07349001616239548, 0.26252055168151855]]","[[0.5866157412528992, 0.01849571242928505]]"
-2H8gOJp_LEvus2Y6pCIOA.jpg,130,diamond-l,"[[1794.0, 1151.0], [1840.0, 1107.0], [1881.0, 1154.0], [1834.0, 1195.0]]","[[0.02931433729827404, -2.7883095741271973], [0.16581372916698456, 0.9125207662582397], [0.030586251989006996, -0.273189514875412]]","[[0.06508886814117432, 0.45021387934684753], [0.04825231432914734, 0.29650092124938965], [-0.00958998128771782, 0.028810331597924232]]","[[0.04861539974808693, 0.2602311372756958]]","[[0.5026636123657227, 0.016000641509890556]]"
-2H8gOJp_LEvus2Y6pCIOA.jpg,132,diamond-l,"[[1892.0, 996.0], [1962.0, 937.0], [2023.0, 1013.0], [1952.0, 1068.0]]","[[0.0605166032910347, -2.9360849857330322], [0.248065784573555, 0.6073020100593567], [0.07720975577831268, -0.20151208341121674]]","[[0.07618491351604462, 0.32468608021736145], [0.05475328117609024, 0.20280274748802185], [-0.10565461218357086, 0.04739101976156235]]","[[0.05225333571434021, 0.19326427578926086]]","[[0.3589385449886322, 0.03772374987602234]]"
-2H8gOJp_LEvus2Y6pCIOA.jpg,105,other,"[[3317.0, 1026.0], [3402.0, 1038.0], [3397.0, 1112.0], [3315.0, 1102.0]]",,,,
-2H8gOJp_LEvus2Y6pCIOA.jpg,133,other,"[[1922.0, 1066.0], [1983.0, 1072.0], [1981.0, 1118.0], [1918.0, 1115.0]]",,,,
